Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées;station_opening_hours
16107;Benjamin Godard - Victor Hugo;OUI;35;33;2;1;1;OUI;OUI;2025-10-24T18:52:14+00:00;48.865983, 2.275725;Paris;75056;
40001;Hôpital Mondor;OUI;28;22;5;4;1;OUI;OUI;2025-10-24T18:57:30+00:00;48.798922410229, 2.4537451531298;Créteil;94028;
9020;Toudouze - Clauzel;OUI;21;11;10;5;5;OUI;OUI;2025-10-24T18:58:18+00:00;48.87929591733507, 2.3373600840568547;Paris;75056;
32304;Charcot - Benfleet;OUI;28;24;2;0;2;OUI;OUI;2025-10-24T18:56:18+00:00;48.878370277021, 2.440523876268;Romainville;93063;
14111;Cassini - Denfert-Rochereau;OUI;25;23;1;0;1;OUI;OUI;2025-10-24T18:56:17+00:00;48.837525839067, 2.3360354080796;Paris;75056;
6003;Saint-Sulpice;OUI;21;10;11;6;5;OUI;OUI;2025-10-24T18:57:32+00:00;48.85165383178419, 2.3308077827095985;Paris;75056;
14014;Jourdan - Stade Charléty;OUI;60;56;2;1;1;OUI;OUI;2025-10-24T18:50:17+00:00;48.819428333369, 2.3433353751898;Paris;75056;
7002;Vaneau - Sèvres;OUI;35;30;4;3;1;OUI;OUI;2025-10-24T18:57:47+00:00;48.848563233059, 2.3204218259346;Paris;75056;
32017;Basilique;OUI;22;8;10;10;0;OUI;OUI;2025-10-24T18:56:25+00:00;48.93626891059109, 2.3588666820200914;Saint-Denis;93066;
6108;Saint-Romain - Cherche-Midi;OUI;17;8;8;7;1;OUI;OUI;2025-10-24T18:57:48+00:00;48.84708159081946, 2.321374788880348;Paris;75056;
11104;Charonne - Robert et Sonia Delaunay;OUI;20;19;1;0;1;OUI;OUI;2025-10-24T18:58:57+00:00;48.855907555969, 2.3925706744194;Paris;75056;
33006;André Karman - République;OUI;31;25;4;3;1;OUI;OUI;2025-10-24T18:56:18+00:00;48.91039875761846, 2.3851355910301213;Aubervilliers;93001;
8026;Messine - Place Du Pérou;OUI;12;9;1;0;1;OUI;OUI;2025-10-24T18:56:10+00:00;48.875448033960744, 2.315508019010038;Paris;75056;
40011;Bas du Mont-Mesly;OUI;27;13;13;9;4;OUI;OUI;2025-10-24T18:54:08+00:00;48.779035118572, 2.4609763908985;Créteil;94028;
5110;Lacépède - Monge;OUI;23;19;4;1;3;OUI;OUI;2025-10-24T18:54:37+00:00;48.84389286531899, 2.3519663885235786;Paris;75056;
21010;Silly - Galliéni;OUI;25;16;9;9;0;OUI;OUI;2025-10-24T18:58:03+00:00;48.835583838706, 2.2325500845909;Boulogne-Billancourt;92012;
42016;Pierre et Marie Curie - Maurice Thorez;OUI;27;20;5;2;3;OUI;OUI;2025-10-24T18:54:58+00:00;48.81580226360801, 2.376804985105991;Ivry-sur-Seine;94041;
7003;Square Boucicaut;OUI;60;33;26;24;2;OUI;OUI;2025-10-24T18:58:41+00:00;48.851296433665276, 2.325061820447445;Paris;75056;
25006;Place Nelson Mandela;OUI;22;15;5;0;5;OUI;OUI;2025-10-24T18:55:08+00:00;48.862453313908, 2.1961666225454;Rueil-Malmaison;92063;
15047;Morillons - Dantzig;OUI;52;37;14;5;9;OUI;OUI;2025-10-24T18:57:58+00:00;48.83310149953933, 2.299380004405976;Paris;75056;
30002;Jean Rostand - Paul Vaillant Couturier;OUI;40;20;19;13;6;OUI;OUI;2025-10-24T18:58:53+00:00;48.908168131015, 2.4530601033354;Bobigny;93008;
12109;Mairie du 12ème;OUI;30;2;26;20;6;OUI;OUI;2025-10-24T18:56:55+00:00;48.840855311763, 2.3875549435616;Paris;75056;
17041;Guersant - Gouvion-Saint-Cyr;OUI;36;6;22;18;4;OUI;OUI;2025-10-24T18:58:08+00:00;48.88287775178599, 2.287667370814871;Paris;75056;
15202;Bracion - Périphérique;OUI;30;25;5;2;3;OUI;OUI;2025-10-24T18:59:09+00:00;48.826103771275, 2.3004549373748;Paris;75056;
